lead_id,lead_score,predicted_conversion,lead_category
LEAD000001,0.631995250562048,1,Medium Priority
LEAD000002,0.09498207232946453,0,Low Priority
LEAD000003,0.577328674685979,1,Medium Priority
LEAD000004,0.5591745178060914,1,Medium Priority
LEAD000005,0.03733120980913203,0,Low Priority
LEAD000006,0.06166291796269403,0,Low Priority
LEAD000007,0.18342310570945766,0,Low Priority
LEAD000008,0.43166936236784614,0,Medium Priority
LEAD000009,0.12148492600830184,0,Low Priority
LEAD000010,0.6157611345785752,1,Medium Priority
LEAD000011,0.15987506154936582,0,Low Priority
LEAD000012,0.14738976705595452,0,Low Priority
LEAD000013,0.7804923239664613,1,High Priority
LEAD000014,0.16522386727094499,0,Low Priority
LEAD000015,0.04457570610214102,0,Low Priority
LEAD000016,0.874322271895429,1,High Priority
LEAD000017,0.04190802628454311,0,Low Priority
LEAD000018,0.6331330558588912,1,Medium Priority
LEAD000019,0.731393764799016,1,High Priority
LEAD000020,0.27687325284038306,0,Low Priority
LEAD000021,0.7178511402426256,1,High Priority
LEAD000022,0.04542864990511307,0,Low Priority
LEAD000023,0.137713566042886,0,Low Priority
LEAD000024,0.3402283970798804,0,Medium Priority
LEAD000025,0.6575702330105023,1,Medium Priority
LEAD000026,0.41323592615426197,0,Medium Priority
LEAD000027,0.4548543425454518,0,Medium Priority
LEAD000028,0.5433536807059279,1,Medium Priority
LEAD000029,0.5359644571088896,1,Medium Priority
LEAD000030,0.16701004752517104,0,Low Priority
LEAD000031,0.5047243701284148,1,Medium Priority
LEAD000032,0.047343957990618815,0,Low Priority
LEAD000033,0.6299136095149961,1,Medium Priority
LEAD000034,0.3397638572282304,0,Medium Priority
LEAD000035,0.29773214972086937,0,Low Priority
LEAD000036,0.6092732798582866,1,Medium Priority
LEAD000037,0.09582841328448191,0,Low Priority
LEAD000038,0.675413282650335,1,Medium Priority
LEAD000039,0.2540127931215404,0,Low Priority
LEAD000040,0.7907248116126896,1,High Priority
LEAD000041,0.6665715008381621,1,Medium Priority
LEAD000042,0.6283640391166462,1,Medium Priority
LEAD000043,0.6839634133441567,1,Medium Priority
LEAD000044,0.07990484070403185,0,Low Priority
LEAD000045,0.285279479186656,0,Low Priority
LEAD000046,0.11820694543542781,0,Low Priority
LEAD000047,0.7583993102083247,1,High Priority
LEAD000048,0.8407382194401107,1,High Priority
LEAD000049,0.5308822757227142,1,Medium Priority
LEAD000050,0.37313389433127403,0,Medium Priority
LEAD000051,0.11457477327312665,0,Low Priority
LEAD000052,0.8388670816079689,1,High Priority
LEAD000053,0.6546879679414738,1,Medium Priority
LEAD000054,0.28050753061436046,0,Low Priority
LEAD000055,0.43734473371794064,0,Medium Priority
LEAD000056,0.3006094787564167,0,Medium Priority
LEAD000057,0.7379256287004432,1,High Priority
LEAD000058,0.8715204014284749,1,High Priority
LEAD000059,0.08982501848859183,0,Low Priority
LEAD000060,0.7294000634781628,1,High Priority
LEAD000061,0.18483644060943824,0,Low Priority
LEAD000062,0.1530242186906351,0,Low Priority
LEAD000063,0.03873461398247489,0,Low Priority
LEAD000064,0.5260680234817829,1,Medium Priority
LEAD000065,0.6065506704466418,1,Medium Priority
LEAD000066,0.26038473981740407,0,Low Priority
LEAD000067,0.14820496759882265,0,Low Priority
LEAD000068,0.13618692187832138,0,Low Priority
LEAD000069,0.09099753913015506,0,Low Priority
LEAD000070,0.2753858572911199,0,Low Priority
LEAD000071,0.15608538764101712,0,Low Priority
LEAD000072,0.316352070136095,0,Medium Priority
LEAD000073,0.4141213664747119,0,Medium Priority
LEAD000074,0.07109870793969483,0,Low Priority
